date,client,tweet,preemptive_framing,diversion,trial_ballooon,deflection,salient_exemplar
2016-05-01 09:59:20,Twitter for iPhone,Thank you Indiana! #Trump2016 https://t.co/shPWexfkVX,0,0,0,0,0
2016-05-01 11:47:29,Twitter for iPhone,"I watched Sen. Graham @FaceTheNation. Why don't they say that I ran him out of the race like a little boy, and in the end he had no support?",0,0,0,0,0
2016-05-01 12:10:45,Twitter for iPhone,"Will be in Terre Haute, Indiana in a short while -- big rally! See you soon!",0,0,0,0,0
2016-05-01 12:29:26,Twitter for iPhone,"I am on @FoxNewsSunday with Chris Wallace- his 20th year anniversary with #FNS, throughout the day. Enjoy! https://t.co/hDzdDpZiRx",0,0,0,0,0
2016-05-01 16:06:16,Twitter for iPhone,".@KarlRove is a failed Jeb Bushy. Never says anything good & never will, even after I beat Hillary. Shouldn't be on the air!",0,0,0,0,0
2016-05-01 17:29:09,Twitter for iPhone,"Thank you Terre Haute, Indiana! #MakeAmericaGreatAgain https://t.co/O6ELhlae3h",0,0,0,0,0
2016-05-01 17:31:05,Twitter for iPhone,"Thank you Fort Wayne, Indiana! #Trump2016 #INPrimary https://t.co/mDGrmMmk5T",0,0,0,0,0
2016-05-01 19:37:17,Twitter for iPhone,"Join me in Carmel, Indiana- tomorrow at 4pm! #INPrimary https://t.co/tfW6B0eZDm https://t.co/ZiofZ2D6ck",0,0,0,0,0
2016-05-02 06:42:59,Twitter for Android,I will be interviewed on @CNN @NewDay at 7:30 A.M. Enjoy!,0,0,0,0,0
2016-05-02 07:12:40,Twitter for Android,"Crooked Hillary Clinton said she is used to ""dealing with men who get off the reservation."" Actually, she has done poorly with such men!",0,0,0,0,0
2016-05-02 07:21:02,Twitter for Android,"Gov Mike Pence has just stated that Donald Trump has taken a strong stance on Hoosier jobs, and he thanks me! I will bring back jobs to USA.",0,0,0,0,0
2016-05-02 10:06:30,Twitter for Android,Everybody is talking about the protesters burning the American flags and proudly waving Mexican flags. I want America First - so do voters!,0,0,0,0,0
2016-05-02 10:27:51,Twitter for iPhone,"I will be campaigning in Indiana all day. Things are looking great, and the support of Bobby Knight has been so amazing. Today will be fun!",0,0,0,0,0
2016-05-02 12:16:14,Twitter for iPhone,I will defeat Crooked Hillary Clinton on 11/8/2016. #Trump2016 #MakeAmericaGreatAgain https://t.co/HtwD1FGn9e,0,0,0,0,0
2016-05-02 15:57:55,Twitter for iPhone,Honored to have received the endorsement of Lou Holtz - a great guy! #INPrimary #Trump2016 https://t.co/AeGyODb37O,0,0,0,0,0
2016-05-02 17:42:54,Twitter for iPhone,"Thank you Carmel, Indiana! Get out & #VoteTrump tomorrow! #INPrimary #MakeAmericaGreatAgain https://t.co/j07c4oYryG",0,0,0,0,0
2016-05-02 17:47:59,Twitter for iPhone,RT @DonaldJTrumpJr: Donald Trump Jr. On The Record: Why Trump International Hotels And Residences Are Still Winning via @forbes https://t.c…,0,0,0,0,0
2016-05-02 17:50:17,Twitter for iPhone,THANK YOU AMERICA! #MakeAmericaGreatAgain https://t.co/PvhGP2HmbN,0,0,0,0,0
2016-05-02 17:56:36,Twitter for iPhone,Will be interviewed on @seanhannity tonight at 10pmE. Enjoy! #INPrimary,0,0,0,0,0
2016-05-02 18:24:06,Twitter for iPhone,"Will be in South Bend, Indiana in a short while -- big rally! See you soon!",0,0,0,0,0
2016-05-02 22:09:00,Twitter for iPhone,RT @EricTrump: Wow! I am speechless! Thank you to my sidekick @LynnePatton who keeps me & the @EricTrumpFdn in line! https://t.co/L7Y2pjIl6…,0,0,0,0,0
2016-05-02 22:11:22,Twitter for iPhone,"Thank you South Bend, Indiana! Everyone get out & #VoteTrump tomorrow! #INPrimary https://t.co/rj11BPzqDI https://t.co/xEBlvGrny1",0,0,0,0,0
2016-05-03 07:23:58,Twitter for iPhone,MAKE AMERICA GREAT AGAIN! #INPrimary #VoteTrump https://t.co/nMqeKxccv6,0,0,0,0,0
