date,client,tweet,preemptive_framing,diversion,trial_ballooon,deflection,salient_exemplar
2014-01-01 08:56:30,Twitter for Android,Today is the first day of the rest of your life - make the most of it!,0,0,0,0,0
2014-01-01 20:39:56,Twitter for Android,"This very expensive GLOBAL WARMING bullshit has got to stop. Our planet is freezing, record low temps,and our GW scientists are stuck in ice",0,0,0,0,0
2014-01-02 01:47:30,Twitter for Android,"""@ScreenPlayWritr: @realDonaldTrump Is Al Gore on that ship?""",0,0,0,0,0
2014-01-02 02:00:04,Twitter for Android,"""@MeleMallory: @realDonaldTrump You know it's actually called CLIMATE CHANGE, right? That's only because GLOBAL WARMING wasn't working!",0,0,0,0,0
2014-01-02 02:02:48,Twitter for Android,"""@noahshappy: @realDonaldTrump very true comment Donald, I'm glad we have people like you in this day and age""",0,0,0,0,0
2014-01-02 02:03:17,Twitter for Android,"""@rayleebates: @realDonaldTrump Don for prez"" Thank you.",0,0,0,0,0
2014-01-02 02:05:05,Twitter for Android,"""@ma22dogs: @realDonaldTrump @TrumpLasVegas the rooms are like condos. Perfect for families. Very accommodating staff. Thanks!",0,0,0,0,0
2014-01-02 02:07:39,Twitter for Android,"""@ShadeTreeGambla: @realDonaldTrump irony is.... Imagine all the fossil fuels required to rescue that ship of idiots!""",0,0,0,0,0
2014-01-02 02:09:50,Twitter for Android,"""@BlakeWebb6: Safe to say that @realDonaldTrump is the biggest stud on the planet #GOP #TrumpForPresident""",0,0,0,0,0
2014-01-02 02:13:31,Twitter for Android,"""@jeffredman5: @realDonaldTrump you are the MAN!!!""",0,0,0,0,0
2014-01-02 02:14:18,Twitter for Android,"""@lutherice: @realDonaldTrump ties are amazing, very well made!""",0,0,0,0,0
2014-01-02 02:14:53,Twitter for Android,"""@HunterBalthazor: @realDonaldTrump if you ran for president you got my vote. Fix the country!"" Thanks",0,0,0,0,0
2014-01-02 14:09:14,Twitter Web Client,The only Forbes 5 Star & 5 Diamond hotel with a 5 Star & 5 Diamond restaurant @TrumpNewYork offers elite luxury http://t.co/5jKwZzRuJE,0,0,0,0,0
2014-01-02 14:27:54,Twitter Web Client,Entrepreneurs are visionaries in some respects--they look beyond the present. Keep that in mind when looking for opportunities.,0,0,0,0,0
2014-01-02 16:39:48,Twitter Web Client,"""Thinking big is the driving force that has forged all the great achievements in modern life."" - Think Big",0,0,0,0,0
2014-01-02 16:48:02,Twitter Web Client,It's Jan. 2. President Obama should end his vacation early & get back to Washington to straighten out the ObamaCare catastrophe--or end it.,0,0,0,0,0
2014-01-02 17:00:31,Twitter Web Client,"Snowden should come back to America and face justice. Instead, he is begging for clemency from Moscow. Treat him as a spy.",0,0,0,0,0
2014-01-02 17:20:34,Twitter Web Client,“Invincibility lies in the defence; the possibility of victory in the attack.” - Sun Tzu,0,0,0,0,0
2014-01-03 12:16:28,Twitter Web Client,I know of no more encouraging fact than the unquestionable ability of man to elevate his life by conscious endeavor. --Henry David Thoreau,0,0,0,0,0
2014-01-03 12:26:38,Twitter Web Client,A regular part of your day should be devoted to expanding your horizons. Learning is a new beginning.,0,0,0,0,0
2014-01-03 14:16:20,Twitter Web Client,"Try to develop a tempo when you're working--momentum is something you have to work at to maintain, & is an important element of success.",0,0,0,0,0
2014-01-03 15:49:21,Twitter Web Client,"Via @BloombergNews by Peter Millard: ""Trump Helps Rio Builders After Olympics: Corporate Brazil"" http://t.co/88bgcAfLX8",0,0,0,0,0
2014-01-03 15:53:02,Twitter Web Client,@fundanything has great campaigns. Support one today http://t.co/W0MDqPckX4,0,0,0,0,0
2014-01-03 16:13:05,Twitter Web Client,@TrumpGolfLA is the top public course in the country with magnificent Pacific Ocean views http://t.co/MYiwkyfiVU,0,0,0,0,0
2014-01-03 16:23:47,Twitter Web Client,Welcome to the new ObamaCare reality – Doctor spent 2 hours on hold w/insurance company to get approval for surgery http://t.co/W2Lru0takZ,0,0,0,0,0
2014-01-03 16:29:47,Twitter Web Client,Record snowfall & freezing temps throughout the country. Where is Global Warming when you need it?!,0,0,0,0,0
2014-01-03 16:41:04,Twitter Web Client,"“The future is always beginning now.” - Mark Strand, former Poet Laureate",0,0,0,0,0
2014-01-04 01:55:08,Twitter for Android,"""@princebe: Antarctic ice shelf melt 'lowest EVER recorded, global warming is NOT eroding it' http://t.co/XZBepuyI1O via @theregister""",0,0,0,0,0
2014-01-05 12:29:42,Twitter for Android,"Most of the world's great riders are at Mar-a-Lago today for the Trump Invitational, one of the most important equestrian events of the year",0,0,0,0,0
2014-01-06 10:36:37,Twitter Web Client,"""@jorgekb @TrumpDoral Blue Monster should be top 10 best courses this year!! Amazing course layout !! "" Thank you.",0,0,0,0,0
2014-01-06 11:25:49,Twitter Web Client,"""@Drake4444444 the only way to fix health care crisis is for you to run for Pres & bring common sense back to govt"" Thx.",0,0,0,0,0
2014-01-06 11:36:50,Instagram,Just hit a million on Facebook- http://t.co/FDv4aLoomz,0,0,0,0,0
2014-01-06 11:47:59,Twitter Web Client,Via @TIMEPolitics by @zekejmiller: “Trump To Visit New Hampshire” http://t.co/ydotdDWcDs,0,0,0,0,0
2014-01-06 12:37:25,Twitter Web Client,Another one of my predictions just came true-- Iraq is a total disaster with government losing all control—so sad.,0,0,0,0,0
2014-01-06 12:38:18,Twitter Web Client,"Sec of State Kerry said we would not go back to Iraq. We shouldn’t, but he should not have said that. So stupid!",0,0,0,0,0
2014-01-06 16:12:19,Twitter Web Client,Entrepreneurs: Set the example and you'll be a magnet for the right people. Great leaders determine the teams they assemble.,0,0,0,0,0
2014-01-06 17:42:43,Twitter Web Client,Have your own vision & stick with it. Don't be afraid to be unique.Every day is an opportunity to show what you can do at the highest level.,0,0,0,0,0
2014-01-06 19:19:41,Twitter for Android,We are experiencing the coldest weather in more than two decades-most people never remember anything like this. GLOBAL WARMING anyone?,0,0,0,0,0
2014-01-06 19:21:51,Twitter for Android,"""@secaucus00: @realDonaldTrump respect your tweets I listen and share with my kids"" Thanks Bob.",0,0,0,0,0
2014-01-06 19:23:14,Twitter for Android,"""@BobBursey: @realDonaldTrump if you run for president, you'll get my vote. Along with every one I know"" Thanks, so nice!",0,0,0,0,0
2014-01-07 11:48:27,Twitter Web Client,"""@RandDHenninger great quote! I'm in the turf business. Nj and Phil. Your sups and courses are top notch!"" Thank you.",0,0,0,0,0
2014-01-07 11:49:42,Twitter Web Client,"""@duffman263 Just realised @realDonaldTrump was in home alone 2! Looking dapper as always"" Thank you.",0,0,0,0,0
2014-01-07 11:58:22,Twitter Web Client,"""@EpilepsyS Will you or @EricTrump try to be president of the united states? You could be a great president."" Thanks.",0,0,0,0,0
2014-01-07 14:23:01,Twitter Web Client,Looking forward to hosting the @FloridaGOP “House Majority 2014 Golf Tournament” at Trump Int'l West Palm Beach on Jan. 27th.,0,0,0,0,0
2014-01-07 14:27:58,Twitter Web Client,Congratulations to @BretBaier on his five year anniversary as the anchor @SpecialReport. Brett is great!,0,0,0,0,0
2014-01-07 17:21:54,Twitter Web Client,"""Stay confident even when something bad happens. It is just a bump in the road. It will pass."" - Think Big",0,0,0,0,0
2014-01-07 17:35:41,Twitter Web Client,Achievers move forward at all times. Don't tread water. Get out there and go for it.,0,0,0,0,0
2014-01-08 16:15:28,Twitter Web Client,Remember to think big by expanding your horizons at the same time you're expanding your net worth.,0,0,0,0,0
2014-01-08 16:19:49,Twitter Web Client,"Identify your goals. Know precisely what you want to achieve, study the best people in your field,and then plan the best route for success.",0,0,0,0,0
2014-01-08 16:59:14,Twitter Web Client,"Please, @21Club, go back to your original menu and preparation. Believe me, it was much better. Let me know when the change is made!",0,0,0,0,0
2014-01-08 18:12:25,Twitter Web Client,"While I am a critic of President Obama, I hate it when someone (Robert Gates) writes a self serving negative book about his boss.",0,0,0,0,0
2014-01-08 18:12:54,Twitter Web Client,"Why didn’t Gates resign if he was so unhappy about what he was being told by Obama? The fact is, Iraq etc. have always been disasters!",0,0,0,0,0
