date,client,tweet,preemptive_framing,diversion,trial_ballooon,deflection,salient_exemplar
2015-03-01 13:13:04,Twitter Web Client,Be sure to watch my #CPAC2015 speech with intro by @DLoesch and a Q&A with @seanhannity http://t.co/unFuoJXul1,0,0,0,0,0
2015-03-01 13:40:34,Twitter Web Client,“@WestJournalism Exclusive – We Asked Donald Trump What Jobs He Would Offer ISIS” http://t.co/JRoqBdSV6j,0,0,0,0,0
2015-03-01 14:26:07,Twitter Web Client,"Via @bpolitics by @BetBrod “Trump sets an aggressive tone as he insisted he's serious about running for POTUS."" http://t.co/iqdFdyHgZ4",0,0,0,0,0
2015-03-01 20:44:31,Twitter Web Client,Via @dcexaminer by @rebeccagberg: “Trump: 'I'm the only one who can beat' Hillary” http://t.co/5UKvHykSvR,0,0,0,0,0
2015-03-01 23:49:18,Twitter for BlackBerry,"Via @BreitbartNews by @mboyle1:""Donald Trump Slams Liberals In ‘Dishonest Press’: ‘I’m Going To Start Naming Names’"" http://t.co/7uzPNPJ9vK",0,0,0,0,0
2015-03-02 11:32:27,Twitter for BlackBerry,"Via @OceanDriveMag by @SuzMcGeeNYC: ""Q&A: Ivanka Trump on the Business of Golf & the Championships"" http://t.co/JhYAqX9ytC",0,0,0,0,0
2015-03-02 12:30:47,Twitter Web Client,Via @WashTimes by @SethMcLaughlin1: “Donald Trump: I want to run for president ‘so badly’” http://t.co/JnGqrDNbSY,0,0,0,0,0
2015-03-02 15:48:16,Twitter Web Client,"Entrepreneurs: Keep the big picture in mind. There are always opportunities & possibilities, and thinking too small can negate a lot of them",0,0,0,0,0
2015-03-02 15:48:27,Twitter Web Client,"Entrepreneurs: Keep your momentum. Without momentum, a lot of great ideas go nowhere.",0,0,0,0,0
2015-03-02 15:49:23,Twitter Web Client,"Entrepreneurs: Look at the solution, not the problem. Learn to focus on what will give results.",0,0,0,0,0
2015-03-03 11:45:54,Twitter Web Client,Entrepreneurs: Paying attention can be a cost effective way of protecting yourself.,0,0,0,0,0
2015-03-03 11:46:22,Twitter Web Client,Entrepreneurs: Follow your instincts and keep your focus intact. You alone know where you really want to go.,0,0,0,0,0
2015-03-03 11:51:54,Twitter Web Client,Entrepreneurs: Don’t ever think you’ve done it all already or that you’ve done your best. You haven't-- so don't limit yourself!,0,0,0,0,0
2015-03-03 15:16:20,Twitter Web Client,"Entrepreneurs: Be tough, be smart, be personable, but don’t take things personally. That’s good business.",0,0,0,0,0
2015-03-03 16:15:22,Twitter Web Client,"Trump International Hotel & Tower, Vancouver, will be a fantastic addition to a spectacular city. http://t.co/aF5XY8ohwL",0,0,0,0,0
2015-03-03 16:31:47,Twitter Web Client,"""@SamDoyle12 @realDonaldTrump great posts. As a budding entrepreneur, I appreciate the quotes"" Great--work hard and good luck!",0,0,0,0,0
2015-03-04 01:04:58,Twitter for Android,"""@phatpuppyart: @seanhannity @realDonaldTrump have to say I would love Donald to run---he makes me feel some pride again. Glimpses of Reagan",0,0,0,0,0
2015-03-04 01:08:04,Twitter for Android,"""@KittyCakes92: @seanhannity I think @realDonaldTrump should be running instead of Jeb. We need a REAL candidate, not a so-so leader.""",0,0,0,0,0
2015-03-04 08:03:32,Twitter for Android,All 50 of the WORLD'S TOP 50 PLAYERS will be at TRUMP NATIONAL DORAL on Thursday - Sunday for the Cadillac World Golf Championship.,0,0,0,0,0
2015-03-04 08:09:56,Twitter for Android,"""@chubby6665: Legends on the wall in my bathroom at Trump Doral ..The refurb here is sensational, great venue! http://t.co/8ZsWampxZa""Thanks",0,0,0,0,0
2015-03-04 12:33:11,Twitter Web Client,With my friends at the great @Adidas Boost event at the @cadillacchamp at @trumpdoral https://t.co/RNyzy5TpDa,0,0,0,0,0
2015-03-04 14:09:09,Twitter Web Client,Just arrived at @trumpdoral for the @cadillacchamp starting tomorrow- https://t.co/QVPKdLZ9J3,0,0,0,0,0
2015-03-04 16:49:00,Twitter Web Client,We create success or failure on the course primarily by our thoughts. -- Gary Player,0,0,0,0,0
2015-03-04 16:49:29,Twitter Web Client,The road to success is always under construction. -- Arnold Palmer,0,0,0,0,0
2015-03-04 16:52:21,Twitter Web Client,Concentration is a fine antidote to anxiety. -- Jack Nicklaus,0,0,0,0,0
2015-03-04 17:05:21,Twitter Web Client,"The object of golf is not just to win. It is to play like a gentleman, and win. -- Phil Mickelson",0,0,0,0,0
2015-03-04 22:59:17,Twitter for Android,"""@mbabramson: @realDonaldTrump Why are you the only candidate who discusses US trade imbalances with other countries? It's important!",0,0,0,0,0
2015-03-04 22:59:46,Twitter for Android,"""@DanielPokorski: @realDonaldTrump Mr Trump You are the epitomy of class"" Thanks.",0,0,0,0,0
2015-03-04 23:00:29,Twitter for Android,"""@jamesmason1: “@realDonaldTrump: We create success or failure on the course primarily by our thoughts. -- Gary Player”""",0,0,0,0,0
2015-03-04 23:02:30,Twitter for Android,"""@tharris012: @realDonaldTrump for president""",0,0,0,0,0
2015-03-05 07:52:20,Twitter for Android,"""@ElianaBenador: #CPAC th crystal ball to see th future: True Conservative candidates will be sorely missing. None of them measures toTrump",0,0,0,0,0
