date,client,tweet,preemptive_framing,diversion,trial_ballooon,deflection,salient_exemplar
2011-05-03 10:25:29,Twitter Web Client,"@oreillyfactor is having a poll, cast your vote for me at http://bit.ly/cxWgkp",0,0,0,0,0
2011-05-09 10:57:33,Twitter Web Client,Watch my appearance on @foxandfriends... http://bit.ly/mpY4NR,0,0,0,0,0
2011-05-13 09:09:17,Twitter Web Client,A sneak peek at Sunday's episode of The Celebrity Apprentice... http://bit.ly/kMMwLa #trumpvlog,0,0,0,0,0
2011-05-13 15:23:27,Twitter Web Client,Guests are raving about our exclusive hotel mattress and so we’ve made it available for purchase! http://bit.ly/sertahotel,0,0,0,0,0
2011-05-16 10:29:30,Twitter Web Client,"NY Jets center, Nick Mangold, interns for Trump. Watch Trump's Fabulous World of Golf tonight 9PM ET on Golf Channel http://bit.ly/fuRNsB",0,0,0,0,0
2011-05-16 14:47:58,Twitter Web Client,This has been a very difficult decision regarding the Presidential run and I want to thank all my twitter fans for your fantastic support.,0,0,0,0,0
2011-05-17 17:10:52,Twitter Web Client,Vote for the next Miss USA... http://bit.ly/lxobOm #VEGASusa11 #MissUSA,0,0,0,0,0
2011-05-19 09:39:09,Twitter Web Client,Check out today's #trumpvlog about the upcoming episode of @ApprenticeNBC.... http://bit.ly/jyfGP3 #celebrityapprenticefinale,0,0,0,0,0
2011-05-20 11:57:24,Twitter Web Client,Get ready for some excitement--the live finale of the Celebrity Apprentice is on this Sunday night --don't miss it! http://bit.ly/bnAuAv,0,0,0,0,0
2011-05-23 12:03:23,Twitter Web Client,My appearance on @foxandfriends from today.... http://bit.ly/lodlDT,0,0,0,0,0
2011-05-23 12:22:08,Twitter Web Client,Congratulations to John Rich and to Marlee Matlin for a terrific job throughout the season. You are both great! http://bit.ly/bnAuAv,0,0,0,0,0
2011-05-26 18:05:09,Twitter Web Client,"@TheRealMissUSA and the 2011 contestants stopped by Trump Tower yesterday, watch the video... http://bit.ly/jQkneQ #MissUSA #VEGASusa11",0,0,0,0,0
2011-05-27 10:46:56,Twitter Web Client,"Wishing everyone a Happy Memorial Day, and a thank you to all the soldiers who protected our great country.",0,0,0,0,0
